696.8;15.2;10.08
1308.7;17.9;7.45
837.4;12.7;9.17
704;-1.6;10.3
666.3;-7.6;12.01
840.5;-8.5;10.17
642;-3.6;11.49
900;-1.3;9.72
642;6;9.74
1130;14.1;8.85
740;17;8.45
1025;15.1;9.15
1009;14.1;8.67
377;-0.9;11.6
393;-1.1;10.95
600;-1.9;11.04
791;-2.1;9.96
475;1.9;10.85
265;3.1;8.96
1334;10.5;6.08
1079;16.4;10.26
1229;18.3;9.57
1335;15.4;9.18
235;0.4;12.77
803;-7.1;10.43
575;-8.6;11.3
558;-15.3;12.99
792;-3.5;9.94
1515;6.4;7.96
878;13.6;8.97
733;19.9;9.72
1379;20.5;8.97
1534;17.9;8.56
1025;8.8;10
1236;5.8;8.19
602;1;11
1032;-10.6;7.87
960;-8.5;10.03
593;-2.3;11.17
976;-2.8;9.09
800;4.6;9.69
838;8.8;8.65
971;16.8;9.91
